nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
650,"NEWBURY PARK",544920,188385,Central,"London Underground",Yes,,,,4,0.090000,51.580000
653,"NORTH ACTON",520828,181957,Central,"London Underground",Yes,,,,"2,3",-0.260000,51.520000
654,"NORTH EALING",518828,181228,Piccadilly,"London Underground",Yes,,,,3,-0.290000,51.520000
655,NORTHFIELDS,517197,179206,Piccadilly,"London Underground",Yes,,,,3,-0.310000,51.500000
656,"NORTH HARROW",513541,188613,Metropolitan,"London Underground",Yes,,,,5,-0.360000,51.580000
657,NORTHOLT,513213,184524,Central,"London Underground",Yes,,,,5,-0.370000,51.550000
659,"NORTH WEMBLEY",517668,186198,"Bakerloo, London Overground","London Underground",Yes,,Yes,,4,-0.300000,51.560000
660,"NORTHWICK PARK",516643,187964,Metropolitan,"London Underground",Yes,,,,4,-0.320000,51.580000
661,NORTHWOOD,509230,191419,Metropolitan,"London Underground",Yes,,,,6,-0.420000,51.610000
662,"NORTHWOOD HILLS",510308,190238,Metropolitan,"London Underground",Yes,,,,6,-0.410000,51.600000
663,"NOTTING HILL GATE",525285,180456,"Central, Circle, District","London Underground",Yes,,,,"1,2",-0.190000,51.510000
664,OAKWOOD,529390,195935,Piccadilly,"London Underground",Yes,,,,5,-0.130000,51.650000
665,"OLD STREET",532764,182419,Northern,"London Underground",Yes,,,,1,-0.090000,51.520000
667,OSTERLEY,514520,177097,Piccadilly,"London Underground",Yes,,,,4,-0.350000,51.480000
668,OVAL,531170,177565,Northern,"London Underground",Yes,,,,2,-0.110000,51.480000
669,"OXFORD CIRCUS",529047,181236,"Bakerloo, Central, Victoria","London Underground",Yes,,,,1,-0.140000,51.510000
670,"PADDINGTON TFL",526459,181527,"Circle, District, Hammersmith & City","London Underground",Yes,,,,1,-0.180000,51.520000
671,"PARK ROYAL",519142,182236,Piccadilly,"London Underground",Yes,,,,3,-0.280000,51.530000
672,"PARSONS GREEN",524985,176647,District,"London Underground",Yes,,,,2,-0.200000,51.470000
673,PERIVALE,516378,183315,Central,"London Underground",Yes,,,,4,-0.320000,51.540000
674,"PICCADILLY CIRCUS",529613,180666,"Bakerloo, Piccadilly","London Underground",Yes,,,,1,-0.130000,51.510000
675,PINNER,512236,189461,Metropolitan,"London Underground",Yes,,,,5,-0.380000,51.590000
676,PLAISTOW,540003,183297,"District, Hammersmith & City","London Underground",Yes,,,,3,0.020000,51.530000
677,"PRESTON ROAD",518249,187282,Metropolitan,"London Underground",Yes,,,,4,-0.290000,51.570000
678,"PUTNEY BRIDGE",524519,175887,District,"London Underground",Yes,,,,2,-0.210000,51.470000
679,QUEENSBURY,518809,189763,Jubilee,"London Underground",Yes,,,,4,-0.280000,51.590000
